"Mes/Ano competenc";"Normais";"Alterados";"Não visualizados";"Ignorado";" Total"
"JANEIRO/2017";"4398";"331";"2315";"36";"7080"
"FEVEREIRO/2017";"4343";"119";"2505";"38";"7005"
"MARÇO/2017";"6336";"191";"3504";"59";"10090"
"ABRIL/2017";"6005";"57";"3863";"69";"9994"
"MAIO/2017";"8458";"13";"5236";"75";"13782"
"JUNHO/2017";"9251";"35";"6673";"89";"16048"
"JULHO/2017";"11069";"83";"6688";"76";"17916"
"AGOSTO/2017";"10529";"12";"6800";"118";"17459"
"SETEMBRO/2017";"9762";"109";"6683";"75";"16629"
"OUTUBRO/2017";"13267";"649";"7796";"53";"21765"
"NOVEMBRO/2017";"14688";"663";"8632";"76";"24059"
"DEZEMBRO/2017";"17105";"355";"10192";"77";"27729"
"JANEIRO/2018";"9426";"148";"5654";"135";"15363"
"FEVEREIRO/2018";"8783";"48";"5244";"78";"14153"
"MARÇO/2018";"11205";"176";"6682";"110";"18173"
"ABRIL/2018";"11914";"167";"7065";"104";"19250"
"MAIO/2018";"10965";"80";"7652";"108";"18805"
"JUNHO/2018";"8828";"94";"6992";"106";"16020"
"JULHO/2018";"9339";"60";"7262";"142";"16803"
"AGOSTO/2018";"11044";"13";"8349";"119";"19525"
"SETEMBRO/2018";"9810";"26";"6126";"120";"16082"
"OUTUBRO/2018";"14892";"316";"8001";"92";"23301"
"NOVEMBRO/2018";"13579";"224";"8036";"120";"21959"
"DEZEMBRO/2018";"10736";"145";"6739";"82";"17702"
"JANEIRO/2019";"13390";"105";"10676";"106";"24277"
"FEVEREIRO/2019";"15592";"42";"8942";"150";"24726"
"MARÇO/2019";"12256";"66";"7378";"136";"19836"
"ABRIL/2019";"11768";"32";"7311";"167";"19278"
"MAIO/2019";"11379";"52";"7383";"160";"18974"
"JUNHO/2019";"12207";"43";"6660";"120";"19030"
"JULHO/2019";"11184";"30";"7150";"161";"18525"
"AGOSTO/2019";"12496";"29";"8002";"174";"20701"
"SETEMBRO/2019";"13452";"31";"8274";"140";"21897"
"OUTUBRO/2019";"16360";"398";"10240";"171";"27169"
"NOVEMBRO/2019";"14983";"32";"9809";"118";"24942"
"DEZEMBRO/2019";"14887";"57";"8670";"75";"23689"
"JANEIRO/2020";"12841";"23";"7733";"150";"20747"
"FEVEREIRO/2020";"15965";"26";"9085";"153";"25229"
"MARÇO/2020";"16094";"28";"8172";"142";"24436"
"ABRIL/2020";"5450";"29";"3113";"77";"8669"
"MAIO/2020";"1308";"54";"861";"31";"2254"
"JUNHO/2020";"2455";"31";"2233";"46";"4765"
"JULHO/2020";"1894";"29";"1100";"79";"3102"
"AGOSTO/2020";"2925";"44";"1436";"80";"4485"
"SETEMBRO/2020";"4370";"21";"2402";"117";"6910"
"OUTUBRO/2020";"12123";"94";"6437";"92";"18746"
"NOVEMBRO/2020";"14469";"130";"7354";"125";"22078"
"DEZEMBRO/2020";"12836";"109";"7484";"102";"20531"
"JANEIRO/2021";"11445";"42";"5843";"136";"17466"
"FEVEREIRO/2021";"12536";"123";"5832";"99";"18590"
"MARÇO/2021";"10991";"48";"5238";"174";"16451"
"ABRIL/2021";"12800";"40";"6730";"190";"19760"
"MAIO/2021";"14635";"57";"8176";"190";"23058"
"JUNHO/2021";"14996";"49";"7254";"141";"22440"
"JULHO/2021";"15837";"53";"8043";"144";"24077"
"AGOSTO/2021";"17264";"71";"8607";"180";"26122"
"SETEMBRO/2021";"17630";"73";"8318";"180";"26201"
"OUTUBRO/2021";"20860";"1045";"8112";"170";"30187"
"NOVEMBRO/2021";"19896";"98";"8676";"132";"28802"
"DEZEMBRO/2021";"19196";"61";"8318";"180";"27755"
"JANEIRO/2022";"17331";"51";"8262";"234";"25878"
"FEVEREIRO/2022";"15706";"47";"7465";"207";"23425"
"MARÇO/2022";"17196";"75";"7917";"213";"25401"
"ABRIL/2022";"15684";"87";"7431";"156";"23358"
"MAIO/2022";"19196";"77";"8833";"212";"28318"
"JUNHO/2022";"12380";"46";"5967";"183";"18576"
"JULHO/2022";"16323";"54";"7477";"282";"24136"
"AGOSTO/2022";"18257";"73";"7615";"300";"26245"
"SETEMBRO/2022";"18445";"60";"7197";"222";"25924"
"OUTUBRO/2022";"22890";"408";"9583";"177";"33058"
"NOVEMBRO/2022";"20778";"51";"8458";"149";"29436"
"DEZEMBRO/2022";"16352";"203";"6415";"158";"23128"
"JANEIRO/2023";"16258";"188";"8171";"175";"24792"
"FEVEREIRO/2023";"14501";"147";"6420";"197";"21265"
"MARÇO/2023";"20699";"281";"10526";"299";"31805"
"ABRIL/2023";"15341";"143";"7505";"286";"23275"
"MAIO/2023";"18169";"217";"8747";"279";"27412"
"JUNHO/2023";"13572";"156";"6040";"149";"19917"
"JULHO/2023";"16505";"170";"8672";"216";"25563"
"AGOSTO/2023";"19035";"161";"9983";"283";"29462"
"SETEMBRO/2023";"16727";"125";"7525";"183";"24560"
"Ignorado";"191065";"11413";"102540";"1293";"306311"
"Total";"1248912";"21642";"670490";"12798";"1953842"
