"Munic.de residencia";"JANEIRO/2017";"FEVEREIRO/2017";"MARÇO/2017";"ABRIL/2017";"MAIO/2017";"JUNHO/2017";"JULHO/2017";"AGOSTO/2017";"SETEMBRO/2017";"OUTUBRO/2017";"NOVEMBRO/2017";"DEZEMBRO/2017";"JANEIRO/2018";"FEVEREIRO/2018";"MARÇO/2018";"ABRIL/2018";"MAIO/2018";"JUNHO/2018";"JULHO/2018";"AGOSTO/2018";"SETEMBRO/2018";"OUTUBRO/2018";"NOVEMBRO/2018";"DEZEMBRO/2018";"JANEIRO/2019";"FEVEREIRO/2019";"MARÇO/2019";"ABRIL/2019";"MAIO/2019";"JUNHO/2019";"JULHO/2019";"AGOSTO/2019";"SETEMBRO/2019";"OUTUBRO/2019";"NOVEMBRO/2019";"DEZEMBRO/2019";"JANEIRO/2020";"FEVEREIRO/2020";"MARÇO/2020";"ABRIL/2020";"MAIO/2020";"JUNHO/2020";"JULHO/2020";"AGOSTO/2020";"SETEMBRO/2020";"OUTUBRO/2020";"NOVEMBRO/2020";"DEZEMBRO/2020";"JANEIRO/2021";"FEVEREIRO/2021";"MARÇO/2021";"ABRIL/2021";"MAIO/2021";"JUNHO/2021";"JULHO/2021";"AGOSTO/2021";"SETEMBRO/2021";"OUTUBRO/2021";"NOVEMBRO/2021";"DEZEMBRO/2021";"JANEIRO/2022";"FEVEREIRO/2022";"MARÇO/2022";"ABRIL/2022";"MAIO/2022";"JUNHO/2022";"JULHO/2022";"AGOSTO/2022";"SETEMBRO/2022";"OUTUBRO/2022";"NOVEMBRO/2022";"DEZEMBRO/2022";"JANEIRO/2023";"FEVEREIRO/2023";"MARÇO/2023";"ABRIL/2023";"MAIO/2023";"JUNHO/2023";"JULHO/2023";"AGOSTO/2023";"SETEMBRO/2023";" Total"
"290010 ABAIRA";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"3";"2";"1";"575";"9";"1";"2";"0";"1";"2";"0";"9";"1";"2";"0";"1";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"629"
"290020 ABARE";"0";"0";"0";"1";"7";"0";"5";"8";"6";"6";"1";"1";"0";"11";"10";"0";"8";"12";"3";"640";"9";"11";"4";"9";"1";"12";"10";"0";"3";"705";"7";"2";"4";"2";"0";"2";"3";"5";"7";"3";"0";"1";"0";"2";"1";"0";"0";"2";"1";"2";"2";"1";"0";"0";"0";"2";"1";"0";"8";"28";"1";"16";"34";"8";"1";"56";"14";"10";"2";"0";"2";"1";"1";"0";"22";"2";"34";"4";"3";"2";"10";"1792"
"290030 ACAJUTIBA";"1";"0";"0";"0";"1";"4";"2";"3";"9";"4";"2";"3";"11";"3";"5";"2";"7";"3";"3";"3";"0";"0";"3";"5";"1";"4";"0";"6";"6";"2";"5";"9";"14";"21";"16";"13";"22";"3";"692";"193";"69";"0";"2";"0";"6";"5";"7";"6";"1";"6";"1";"15";"11";"7";"5";"5";"6";"12";"18";"7";"3";"16";"25";"7";"3";"1";"3";"8";"13";"18";"23";"3";"3";"4";"4";"6";"6";"4";"6";"19";"13";"1458"
"290035 ADUSTINA";"0";"0";"32";"114";"26";"13";"2";"1";"0";"5";"3";"0";"1";"1";"22";"40";"23";"22";"11";"1";"2";"18";"20";"17";"28";"16";"9";"41";"5";"31";"37";"28";"0";"3";"5";"28";"53";"27";"27";"23";"29";"3";"2";"2";"0";"11";"27";"8";"13";"23";"16";"13";"13";"17";"2";"13";"8";"9";"20";"7";"27";"31";"26";"46";"40";"25";"1";"42";"49";"35";"320";"451";"20";"3";"9";"4";"14";"4";"13";"12";"7";"2150"
"290040 AGUA FRIA";"1";"0";"6";"9";"12";"11";"31";"23";"19";"25";"22";"116";"8";"12";"5";"5";"3";"5";"12";"7";"3";"29";"18";"5";"15";"20";"19";"10";"24";"9";"19";"17";"13";"1";"11";"8";"2";"42";"17";"0";"1";"1";"0";"4";"4";"18";"15";"9";"1";"5";"5";"5";"783";"4";"8";"18";"22";"10";"7";"19";"10";"10";"20";"4";"21";"13";"7";"18";"10";"25";"8";"18";"14";"9";"12";"12";"8";"42";"38";"52";"14";"1918"
"290050 ERICO CARDOSO";"0";"0";"113";"353";"3";"0";"2";"6";"0";"0";"0";"2";"1";"3";"0";"0";"1";"0";"0";"1";"1";"4";"354";"272";"1";"3";"0";"0";"0";"0";"0";"0";"3";"4";"0";"0";"2";"0";"1";"21";"127";"136";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"6";"4";"6";"4";"6";"2";"4";"2";"355";"232";"13";"5";"4";"6";"6";"12";"8";"0";"9";"2";"11";"4";"10";"638";"6";"2771"
"290060 AIQUARA";"1";"1";"1";"0";"1";"0";"0";"0";"7";"3";"0";"0";"0";"7";"3";"3";"1";"0";"4";"15";"6";"2";"15";"117";"2";"1";"2";"2";"4";"9";"3";"5";"4";"3";"0";"1";"2";"7";"7";"52";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"7";"0";"10";"5";"0";"4";"1";"1";"0";"0";"237";"0";"1";"0";"0";"0";"0";"0";"2";"3";"1";"3";"4";"1";"2";"5";"2";"5";"4";"2";"6";"601"
"290070 ALAGOINHAS";"5";"6";"5";"2";"5";"13";"14";"17";"5";"29";"187";"131";"112";"282";"161";"74";"141";"154";"89";"22";"11";"290";"259";"208";"91";"27";"18";"17";"27";"12";"18";"96";"166";"196";"159";"180";"82";"132";"2602";"205";"3";"4";"16";"11";"53";"94";"468";"516";"78";"20";"34";"66";"83";"13";"51";"27";"52";"110";"154";"168";"19";"160";"151";"1351";"29";"13";"26";"49";"549";"94";"135";"34";"36";"22";"30";"18";"49";"17";"19";"155";"120";"11347"
"290080 ALCOBACA";"0";"0";"0";"2";"1";"4";"6";"3";"7";"5";"6";"10";"3";"0";"1";"0";"0";"2";"0";"4";"1";"11";"40";"1";"1";"74";"18";"21";"10";"14";"14";"13";"4";"12";"269";"600";"6";"19";"38";"20";"25";"0";"2";"1";"0";"1";"2";"8";"1";"0";"0";"1";"1";"3";"0";"2";"0";"3";"3";"13";"15";"23";"3";"14";"11";"1";"38";"41";"21";"2";"3";"61";"12";"29";"29";"27";"17";"18";"17";"23";"1";"1712"
"290090 ALMADINA";"0";"1";"0";"0";"1";"10";"13";"13";"8";"32";"1";"50";"6";"5";"2";"2";"9";"10";"12";"216";"4";"17";"7";"1";"0";"11";"4";"5";"6";"1";"1";"4";"7";"5";"19";"11";"3";"5";"5";"0";"0";"0";"0";"2";"0";"0";"1";"2";"0";"1";"0";"0";"1";"3";"0";"0";"2";"2";"4";"6";"22";"3";"3";"3";"3";"2";"10";"18";"19";"8";"3";"7";"6";"5";"12";"4";"323";"3";"2";"5";"16";"1008"
